agent,env,env_step,episode_reward,seed
DCWM (ours),humanoid-walk,151000.0,2.809480667114258,1
DCWM (ours),humanoid-walk,176000.0,4.066985607147217,1
DCWM (ours),humanoid-walk,201000.0,66.81842803955078,1
DCWM (ours),humanoid-walk,226000.0,124.93102264404295,1
DCWM (ours),humanoid-walk,251000.0,171.7796173095703,1
DCWM (ours),humanoid-walk,276000.0,167.5748291015625,1
DCWM (ours),humanoid-walk,301000.0,215.15049743652344,1
DCWM (ours),humanoid-walk,326000.0,258.1921081542969,1
DCWM (ours),humanoid-walk,351000.0,304.1295471191406,1
DCWM (ours),humanoid-walk,376000.0,360.27911376953125,1
DCWM (ours),humanoid-walk,401000.0,367.1916198730469,1
DCWM (ours),humanoid-walk,426000.0,466.4070434570313,1
DCWM (ours),humanoid-walk,451000.0,521.1842041015625,1
DCWM (ours),humanoid-walk,476000.0,567.8161010742188,1
DCWM (ours),humanoid-walk,501000.0,608.7471923828125,1
DCWM (ours),humanoid-walk,526000.0,681.5013427734375,1
DCWM (ours),humanoid-walk,551000.0,680.291259765625,1
DCWM (ours),humanoid-walk,576000.0,662.3815307617188,1
DCWM (ours),humanoid-walk,601000.0,763.8560791015625,1
DCWM (ours),humanoid-walk,626000.0,764.2969970703125,1
DCWM (ours),humanoid-walk,651000.0,774.860595703125,1
DCWM (ours),humanoid-walk,676000.0,761.3483276367188,1
DCWM (ours),humanoid-walk,701000.0,745.7494506835938,1
DCWM (ours),humanoid-walk,726000.0,754.512939453125,1
DCWM (ours),humanoid-walk,751000.0,844.2783203125,1
DCWM (ours),humanoid-walk,776000.0,801.6528930664062,1
DCWM (ours),humanoid-walk,801000.0,843.2577514648438,1
DCWM (ours),humanoid-walk,826000.0,863.1964721679688,1
DCWM (ours),humanoid-walk,851000.0,848.0975952148438,1
DCWM (ours),humanoid-walk,876000.0,865.3163452148438,1
DCWM (ours),humanoid-walk,901000.0,855.693359375,1
DCWM (ours),humanoid-walk,926000.0,849.3424072265625,1
DCWM (ours),humanoid-walk,951000.0,871.6843872070312,1
DCWM (ours),humanoid-walk,976000.0,876.1912231445312,1
DCWM (ours),humanoid-walk,1001000.0,887.4367065429688,1
DCWM (ours),humanoid-walk,1026000.0,889.3648681640625,1
DCWM (ours),humanoid-walk,1051000.0,866.43896484375,1
DCWM (ours),humanoid-walk,1076000.0,871.1953125,1
DCWM (ours),humanoid-walk,1101000.0,903.3494262695312,1
DCWM (ours),humanoid-walk,1126000.0,876.8527221679688,1
DCWM (ours),humanoid-walk,1151000.0,865.6762084960938,1
DCWM (ours),humanoid-walk,1176000.0,884.6407470703125,1
DCWM (ours),humanoid-walk,1201000.0,888.6232299804688,1
DCWM (ours),humanoid-walk,1226000.0,879.7147827148438,1
DCWM (ours),humanoid-walk,1251000.0,868.18896484375,1
DCWM (ours),humanoid-walk,1276000.0,896.97900390625,1
DCWM (ours),humanoid-walk,1301000.0,879.8991088867188,1
DCWM (ours),humanoid-walk,1326000.0,899.22216796875,1
DCWM (ours),humanoid-walk,1351000.0,867.3244018554688,1
DCWM (ours),humanoid-walk,1376000.0,895.2478637695312,1
DCWM (ours),humanoid-walk,1401000.0,901.9619140625,1
DCWM (ours),humanoid-walk,1426000.0,907.5277709960938,1
DCWM (ours),humanoid-walk,1451000.0,908.5258178710938,1
DCWM (ours),humanoid-walk,1476000.0,911.1253051757812,1
DCWM (ours),humanoid-walk,1501000.0,915.6978759765624,1
DCWM (ours),humanoid-walk,1526000.0,915.0924072265624,1
DCWM (ours),humanoid-walk,1551000.0,906.0662231445312,1
DCWM (ours),humanoid-walk,1576000.0,910.6671752929688,1
DCWM (ours),humanoid-walk,1601000.0,904.7675170898438,1
DCWM (ours),humanoid-walk,1626000.0,911.0498046875,1
